charity_id,charity_name,charity_mission,charity_url,category_id,category_name,sub_category,work_type,state,city,latitude,longitude,minage,maxage,accountability_score,financial_score,overall_score,total_contributions
0,9to5 National Association of Working Women,"9to5 National Association of Working Women works to build a movement for economic justice, by engaging directly affected women to improve working conditions. Founded in 1973, 9to5 is now one of the largest national membership organizations of working women in the U.S., dedicated to putting working women's issues on the public agenda. Over the years, 9to5 has helped raise the expectations of low-wage women, who thought that change was out of their reach. Winning justice for working women, 9to5 fights for paid sick days, equal pay, family-supporting jobs with decent wages, and a strong safety net. We lift up the voices of women in low-wage jobs, build their leadership and empower them to bring about real change.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961,5,Human Services ,Human and Civil Rights ,Advocacy and Education,WI,Milwaukee,44.268543,-89.616508,17,30,89,90.56,89.75,1999023
1,'Aha PÃƒâ€¦Ã‚Â«nana Leo,"The Ã¢â‚¬Å¡Ãƒâ€žÃƒÂ²Aha PÃ¢â€°Ë†Ã‚Â´nana Leo is a family-based educational organization dedicated to the revitalization of the Hawaiian language. The PÃ¢â€°Ë†Ã‚Â´nana Leo language nest provides a cultural educational environment that emulates Hawaiian Language and Culture. The PÃ¢â€°Ë†Ã‚Â´nana Leo is a member of a consortium of an internationally recognized association of schools, organizations and university programs in Hawaii dedicated to reestablishing Hawaiian as the first and main language of the home. The PÃ¢â€°Ë†Ã‚Â´nana Leo family initiates, provides for, and nurtures various Hawaiian language environments. Our families are the living essence of these environments, and we find our strength in our spirituality, love of our language, love of our people, love of our land, and love of knowledge.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16012,4,Health and Education,Education ,Early Childhood Programs and Services,HI,Hilo,21.094318,-157.498337,17,30,86,85.92,85.95,3339358
2,AID FOR AIDS International,"AID FOR AIDS International (AFAI) is committed to improving the quality of life of people with HIV or AIDS (PWHAs) in developing countries and for immigrants to the United States of America living with HIV. We work to empower PLWHAs, their caregivers, and the community at large by providing access to medications, health education, HIV prevention strategies and advocacy and by promoting leadership and capacity building for individuals and organizations.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185,1,International ,International ,Development and Relief Services,NY,New York,42.165726,-74.948051,17,30,85,77.65,80.96,8039138
3,Futures in Education,"The mission of Futures in Education is to ensure that the gift of an excellent Catholic education continues to be a viable option for current and future generations of deserving students in Brooklyn and Queens. We provide assistance to the neediest of those students, through endowment funds and fundraising programs that focus on key educational priorities: scholarship and tuition assistance, programmatic support, alumni outreach and school fundraising program, and capital improvements.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17169,4,Health and Education,Education ,Scholarship and Financial Support,NY,Brooklyn,42.165726,-74.948051,17,30,86,97.5,89.94,9704138
5,Futures Without Violence,"For more than 30 years, FUTURES has been providing groundbreaking programs, policies, and campaigns that empower individuals and organizations working to end violence against women and children around the world.Providing leadership from offices in San Francisco, Washington D.C. and Boston, we've established a state-of-the-art Center for Leadership and Action in the Presidio of San Francisco to foster ongoing dialogue about gender-based violence and child abuse.Striving to reach new audiences and transform social norms, we train professionals such as doctors, nurses, judges, and athletic coaches on improving responses to violence and abuse. We also work with advocates, policy makers, and others to build sustainable community leadership and educate people everywhere about the importance of respect and healthy relationships.Our vision is a future without violence that provides education, safety, justice, and hope.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6436,5,Human Services ,Human and Civil Rights ,Advocacy and Education,CA,San Francisco,36.116203,-119.681564,31,43,100,93.14,95.14,12355178
6,Gwinnett Habitat for Humanity,"Seeking to put God's love into action, Habitat for Humanity brings people together to build homes, communities and hope. Gwinnett Habitat for Humanity's vision is a. world in which everyone has a decent place to live. Many families live their whole lives without owning their own home, some may never even live in a home; not for lack of desire to live in a home, but because they can't afford it. Gwinnett Habitat for Humanity offers opportunities to own a home.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11467,5,Human Services ,Community Development ,Housing and Neighborhood Development,GA,Stone Mountain,33.040619,-83.643074,31,43,89,99.94,92.22,536485
7,Izaak Walton League of America,"The Izaak Walton League of America was formed in 1922 to save outdoor America for future generations. We are one of the earliest conservation organizations to set an aggressive course to defend wild America by changing public policy. Almost every major, successful conservation program that America has in place today can be traced directly to a League activity or initiative. Our mission is to conserve, maintain, protect, and restore the soil, forest, water, and other natural resources of the United States and other lands; to promote means and opportunities for the education of the public with respect to such resources and their enjoyment and wholesome utilization.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8974,2,Animals and Environment,Environment ,Environmental Protection and Conservation,MD,Gaithersburg,39.063946,-76.802101,31,43,100,79.94,85.81,2170503
8,"It's The Journey, Inc.","It's The Journey, Inc.'s mission is to strengthen Georgia's breast cancer community by raising money and awareness for local organizations that focus on breast cancer education, early detection, awareness and support services, as well as breast cancer research in Georgia. It's The Journey, Inc. - producer of the Georgia 2-Day Walk for Breast Cancer- is a local organization founded 15 years ago by a breast cancer survivor, Randi Passoff. The purpose of the 2-Day Walk is to raise funds for breast cancer programs throughout Georgia.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11793,4,Health and Education,Health ,Medical Research,GA,Atlanta,33.040619,-83.643074,17,30,100,89.98,92.91,1473462
9,Issaquah Schools Foundation,"Founded in 1987, in cooperation with the Issaquah School District, the Issaquah Schools Foundation drives resources to help all students achieve the promise of their academic potential. We strive to be the unifying organization that enables the Issaquah School District to provide access to exceptional opportunities district-wide that ignite learning, improve educational outcomes and prepare all students to be confident, competent and engaged citizens.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15427,4,Health and Education,Education ,Scholarship and Financial Support,WA,Bellevue,47.400902,-121.490494,17,30,89,78.66,83.02,1574828
10,Hydrocephalus Association,"The Hydrocephalus Association's mission is to promote a cure for hydrocephalus and improve the lives of those affected by the condition. The Hydrocephalus Association (HA) will accomplish this by collaborating with patients, caregivers, researchers and industry, increasing awareness and funding innovative, high-impact research to prevent, treat and, ultimately, cure hydrocephalus.Hydrocephalus is an abnormal accumulation of fluid - cerebrospinal fluid, or CSF - within cavities called ventricles inside the brain. Hydrocephalus occurs when there is an imbalance between the amount of CSF that is produced and the rate at which it is absorbed. As the CSF builds up, it causes the ventricles to enlarge and the pressure inside the head to increase. We advocate for increased research and funding to advance understanding, improve diagnosis and treatment, and find a cure.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11367,4,Health and Education,Health ,"Diseases, Disorders, and Disciplines",MD,Bethesda,39.063946,-76.802101,44,100,93,84.82,88.17,4595007
